teamID,yearID,yr_spend_mil,cumulative_spend_mil
TEX,2006,68.23,973.04
TEX,2007,68.32,1041.36
TEX,2008,67.71,1109.07
TEX,2009,68.18,1177.25
TEX,2010,55.25,1232.50
TEX,2011,92.30,1324.80
TEX,2012,120.51,1445.31
TEX,2013,112.52,1557.84
TEX,2014,112.26,1670.09
TOR,1985,8.81,8.81
TOR,1986,12.61,21.42
TOR,1987,10.48,31.90
TOR,1988,12.24,44.14
TOR,1989,16.26,60.41
TOR,1990,17.76,78.16
TOR,1991,19.90,98.07
TOR,1992,44.79,142.85
TOR,1993,47.28,190.13
TOR,1994,43.43,233.57
TOR,1995,50.59,284.16
TOR,1996,29.56,313.71
TOR,1997,47.08,360.79
TOR,1998,51.38,412.17
TOR,1999,45.44,457.61
TOR,2000,44.84,502.45
TOR,2001,76.90,579.35
TOR,2002,76.86,656.21
TOR,2003,51.27,707.48
TOR,2004,50.02,757.50
TOR,2005,45.72,803.22
TOR,2006,71.37,874.58
TOR,2007,81.94,956.52
TOR,2008,97.79,1054.32
TOR,2009,80.54,1134.86
TOR,2010,62.23,1197.09
TOR,2011,62.57,1259.66
TOR,2012,75.01,1334.67
TOR,2013,126.29,1460.96
TOR,2014,109.92,1570.88
WAS,2005,48.58,48.58
WAS,2006,63.14,111.72
WAS,2007,36.95,148.67
WAS,2008,54.96,203.63
WAS,2009,59.93,263.56
WAS,2010,61.40,324.96
WAS,2011,63.86,388.82
WAS,2012,80.86,469.67
WAS,2013,113.70,583.38
WAS,2014,131.98,715.36
